what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1721177820189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177845873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177847909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177848248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177852806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177853864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178335409
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178337835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178424849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178877870
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1721178877891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178878159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178880481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178896018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721178896036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178900353
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1721178909313
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1721178909536
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1721178909728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721178910636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178910973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721178910989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721178911228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721178915696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178917720
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178917833
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178917909
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178920338
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178921128
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178921198
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178925882
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178925918
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178928906
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178928912
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178933452
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178933452
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178934366
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178937870
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178937870
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178938607
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178938668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178951101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179260716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179262386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179263326
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179268351
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179268414
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179271513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179277076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721179277096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1721179297972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721179298275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179299295
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179302529
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179305167
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179305807
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179306318
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179307592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179310220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721179310238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721179310507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179312217
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179312535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179313051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721179313068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721179313287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179315614
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179328694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179393686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179741966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179879090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182211380
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182235309
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182237938
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182238644
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182239758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182689981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182842773
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182844497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182977466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183170705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183171831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183237565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183238268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183264784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183264857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183265769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183269127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183270150
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183270192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183274326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183276157
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183276211
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183277024
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183278209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183281977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721183281997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183290315
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183294753
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183295446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183297260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183298531
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183298575
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721183300483
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721183301190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183301325
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183302427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721183338143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721183339194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183339627
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721183340281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183340597
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1721183341635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183341657
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1721183341673
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1721183341679
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1721183341686
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183346794
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183353682
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183354661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183370921
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721183371293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183371625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183372168
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183387667
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721183388051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183388415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183390320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183392470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183467183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183470354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183470793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183472367
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721183472949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183473256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183508253
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183510215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183511927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183547117
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183547223
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183562494
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721183576479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183576852
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721183577220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183577551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183579392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183579722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183635623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183642207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183643976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183644957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183754693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183763232
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721183763251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183767040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183769751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721183769770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183773614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183778204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183780081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183785933
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721183786646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183786958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183788900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183790941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183792568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183793017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183833980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183835122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183922321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1721183924816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721183927444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721183928937
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721183929403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183929721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721184034465
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721184041703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1721184044374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721184045395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721184045739
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721184046254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721184046569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721184048533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1721184049859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721184050509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721184051454
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721184052114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721184052420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721184083199
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184083303
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184090317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721184117334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721184122448
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721184125747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1721184126641
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184128448
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184129970
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184131111
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184131179
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184132193
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184134657
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721184141733
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721184146713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1721184149934
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721184154485
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721184156579
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1721184159202
